n,k,p_n,growth_avg,entry,factors,runtime_s,timeout
305,-264,2167910174762314671758582993086596697205040321748453169314489094843330477810219161550398082912476895207065069334102461172612110212806749595328121645558207579136849917077826840066111,0.9460905754979029,4249103942534136756646822666449729526521879030626968211856398625892927736508029556638780242508454714605847535894840823898319736017101229206843118425294086855108225837472540606529577560,"{2: 3, 5: 1, 7: 2, 2167910174762314671758582993086596697205040321748453169314489094843330477810219161550398082912476895207065069334102461172612110212806749595328121645558207579136849917077826840066111: 1}",35.20199418067932,0.23059773445129395
306,-133,1139517865002356854299099639386472719713681521690045961887349241841433294939324411141635631752116007426932294913094614047328669854711945979423882381412129610022913634766886466963993,0.9461927159589323,1896157727363921805553701799939090605603566052092236480580549138424145002779035820139681691235521036358415338735389437774754906638240678109761340282669783671078128288252099081028084352,"{2: 7, 13: 1, 1139517865002356854299099639386472719713681521690045961887349241841433294939324411141635631752116007426932294913094614047328669854711945979423882381412129610022913634766886466963993: 1}",34.82255220413208,0.23059773445129395
307,-130,1527517384190196829754532366229317501909009773197465294239643304805320882222684237515574056917178820975738433211841127789471833394668001387840353340811840957103745733294033592770861,0.9462860639959403,5083577854584975049423083714811168646353184525201164499229532918392107896037093142451830461420371116207257505729007273283362261537455108618732695918221806705241265800402543796741425408,"{2: 8, 13: 1, 1527517384190196829754532366229317501909009773197465294239643304805320882222684237515574056917178820975738433211841127789471833394668001387840353340811840957103745733294033592770861: 1}",34.89803457260132,0.23059773445129395
308,-213,59220153826309798510557346876496756205102169558975827510496765719076945392959865994336716570700710392829149540685227191031113178499258113465841668517152708901291097845364717729277273,0.9463963421730731,271938946370414594760479336856873104493829162614816999928201148182001333244471704645994202492657662123871454690826563261214871715668593257035144941830765239274728721305914783812841237616,"{2: 4, 7: 1, 41: 1, 59220153826309798510557346876496756205102169558975827510496765719076945392959865994336716570700710392829149540685227191031113178499258113465841668517152708901291097845364717729277273: 1}",35.53477597236633,0.23059773445129395
309,-146,21721279216246298500312507056176554634365690722256698935008593312363383616599682397792658553160367920059318880826171267410419358389872455652888335586936262464972580822853927311508794313,0.9465402500660864,347540467459940776005000112898824874149851051556107182960137492997814137865594918364682536850565886720949102093218740278566709734237959290446213369390980199439561293165662836984140709008,"{2: 4, 21721279216246298500312507056176554634365690722256698935008593312363383616599682397792658553160367920059318880826171267410419358389872455652888335586936262464972580822853927311508794313: 1}",35.09309267997742,0.23059773445129395
310,-149,1614610331522195224687320536606564801224551062286817644126161581865921106168321407764890362735530829092296018523288788168017440382858381653015114792787363907629510614382796187078888273,0.9466534086111006,1653360979478727910079816229485122356453940287781701267585189459830703212716361121551247731441183568990511122967847719084049858952046982812687477547814260641412618869127983295568781591552,"{2: 10, 1614610331522195224687320536606564801224551062286817644126161581865921106168321407764890362735530829092296018523288788168017440382858381653015114792787363907629510614382796187078888273: 1}",34.61393332481384,0.23059773445129395
311,-290,27538496437689595395348775689136704456006063758254547642317953581656858093914335348700034156599235223893630106685002803547942947110387554719835360645543054135760620439200834418632293337,0.946776845088679,17404329748619824289860426235534397216195832295216874109944946663607134315353859940378421586970716661500774227424921771842299942573764934582935947927983210213800712117574927352575609388984,"{2: 3, 79: 1, 27538496437689595395348775689136704456006063758254547642317953581656858093914335348700034156599235223893630106685002803547942947110387554719835360645543054135760620439200834418632293337: 1}",34.94745469093323,0.23059773445129395
312,-309,17404329748619824289860426352311291980311857366838590304357650088778169050611895145787935223368419931566352715862322916349514786616342081920866742097024921497793177742662920291854623919157,0.9469371592768397,69617318994479297159441705409245167921247429467354361217430600355112676202447580583151740893473679726265410863449291665398059146465368327683466968388099685991172710970651681167418495676628,"{2: 2, 17404329748619824289860426352311291980311857366838590304357650088778169050611895145787935223368419931566352715862322916349514786616342081920866742097024921497793177742662920291854623919157: 1}",34.787161350250244,0.23059773445129395
313,-280,6961731899447929715935804451418329643395493101952763798263571451324856543485376282422085014049664984173571086902741796373428700486539111995263985095773362491388296125775592364769406965747,0.9470795278332087,278469275977917188637432178056733185735819724078110551930542858052994261739415051296883400561986599366942843476109671854937148019461564479810559403830934499655531845031023694590776278629880,"{2: 3, 5: 1, 6961731899447929715935804451418329643395493101952763798263571451324856543485376282422085014049664984173571086902741796373428700486539111995263985095773362491388296125775592364769406965747: 1}",35.18949627876282,0.23059773445129395
314,-275,3480865949723964857294406752039461688244945560611191474422887069835844741799727094761227827233719752748401031100031353397695519017901255155808955619597241871539150240831702259045262272887,0.947205862209988,1113877103911668754334210160652627740238382579395581271815323862347470317375912670323592904714790320879488329952010033087262566085728401649858865798271117398892528077066144722894483927323840,"{2: 6, 5: 1, 3480865949723964857294406752039461688244945560611191474422887069835844741799727094761227827233719752748401031100031353397695519017901255155808955619597241871539150240831702259045262272887: 1}",35.2955379486084,0.23059773445129395
315,-240,79562650149423041682503436526298120151605403737811309606016396449565239886474528035858802080356994214260939161488465055946432272043410860769802011003794405331043999655367733878511699462911,0.9473441990801483,4455508408367690334220192445472694728489902609317433337936918201175653433642573570008092916499991675998612593043354043133000207234431008203108912616212486698538463980700593097196655169923016,"{2: 3, 7: 1, 79562650149423041682503436526298120151605403737811309606016396449565239886474528035858802080356994214260939161488465055946432272043410860769802011003794405331043999655367733878511699462911: 1}",35.914509534835815,0.23059773445129395
316,-255,39781325139671667805204992463312157711143230176971070689338894734076848609295922371869253320417271425189874055680407160718854709871403923113138178210472122133165508456048216204113194710321,0.9474667310825282,17822033662572907176731836623563846654592167119283039668823824840866428176964573222597425487546937598485063576944822408002046910022388957554685903838291510715658147788309600859442711230223808,"{2: 6, 7: 1, 39781325139671667805204992463312157711143230176971070689338894734076848609295922371869253320417271425189874055680407160718854709871403923113138178210472122133165508456048216204113194710321: 1}",36.41087508201599,0.23059773445129395
317,-260,2546004808940818868209432698330103665915630248739798141942317179077588400612646914640893259603292842146113974159564187249141100109060587280254220387248976285901033138723374416246185253072429,0.9476085313669953,71288134650342928309864115553242902645637646964714347974384881014172475217154113609945011268892199580091191276467797242975950803053696443847118170842971336005228927884254483654893187086028012,"{2: 2, 7: 1, 2546004808940818868209432698330103665915630248739798141942317179077588400612646914640893259603292842146113974159564187249141100109060587280254220387248976285901033138723374416246185253072429: 1}",36.10854196548462,0.23059773445129395
318,-175,2088977102646176968110756000900712227243745426706760158660834323347843803090182915697021117349402239260107791148616783193246783175018424836700576426540525805761216902188466649489481284423,0.9476889395607906,248805528833570261609863482731278429113639055302481961937140011248021588323253145991178003160783204304835878356964853345448464863277394471750385454706682785569383977918255131820795178899916992,"{2: 6, 1861: 1, 2088977102646176968110756000900712227243745426706760158660834323347843803090182915697021117349402239260107791148616783193246783175018424836700576426540525805761216902188466649489481284423: 1}",35.439998149871826,0.23059773445129395
319,-242,3027129141371637234822937143553984873550397305686272940017685185735816622511878358914117019267497728225091139481199907972980148662255227482650076561500350959547830738252504853463560672047,0.947761909718479,1140610151952267423532343423942567284414295503193364898706903707244512760095985718125403636391916074004301440991958200524587028095343120694552618248067086240153784430850590818765655806984621412,"{2: 2, 7: 1, 13457: 1, 3027129141371637234822937143553984873550397305686272940017685185735816622511878358914117019267497728225091139481199907972980148662255227482650076561500350959547830738252504853463560672047: 1}",36.43443536758423,0.23059773445129395
320,-269,372140344014860749815011743322809469661088323087815268278273325945956677924771526968917220855708608648096414360063764826145475496967598632490509345730668377420292784048194258145904486592913,0.9478588369959281,4562440617622192792732043973137644098044942841056615189091630976097428871357698920638925127690987542025662040054381756768543529592822759234333644578657994307172789532430861604868789005629113380,"{2: 2, 5: 1, 613: 1, 372140344014860749815011743322809469661088323087815268278273325945956677924771526968917220855708608648096414360063764826145475496967598632490509345730668377420292784048194258145904486592913: 1}",36.59295988082886,0.23059773445129395
