n,k,entry,factors,max_factor
83,-52,88037568235359715141461097236262838209636797021472,"{2: 5, 661: 1, 2053: 1, 90203: 1, 22475360639488498789370300849118471379: 1}",22475360639488498789370300849118471379
83,-50,84341312188955928608247118911302115216378559117792,"{2: 5, 7: 1, 103: 1, 347: 1, 2748953: 1, 21028788923: 1, 182240147948672320374639727: 1}",182240147948672320374639727
83,-48,79181954790850643238969274166044439371622268710572,"{2: 2, 403637293: 1, 262268623: 1, 186994402622011021348287691533337: 1}",186994402622011021348287691533337
83,-46,72505139334479097466962651554534505925467069360052,"{2: 2, 17: 1, 3319: 1, 23957: 1, 13409734937450102716682283496496484730783: 1}",13409734937450102716682283496496484730783
83,-44,64468231840698533111769494707346623073613588660352,"{2: 7, 13052480351: 1, 38587153377087454229234807710084825759: 1}",38587153377087454229234807710084825759
83,-42,55444335707330881905938581756118123029427224365952,"{2: 7, 61: 1, 264179: 1, 409817: 1, 305464672207: 1, 214717839137869865942519: 1}",214717839137869865942519
83,-40,45969244767294848139816123157328197983031541856832,"{2: 6, 137: 1, 60761: 1, 989165329115183469071: 1, 87231437455573591079: 1}",989165329115183469071
83,-38,36644552096148275227124179774392081270705632085952,"{2: 6, 59: 1, 367: 1, 10163: 1, 2259574778373233: 1, 1151496769254560319491489: 1}",1151496769254560319491489
83,-36,28026275536452200262363444223496579460828654873472,"{2: 7, 499: 1, 282869369: 1, 854922421: 1, 1814438462599571850724990849: 1}",1814438462599571850724990849
83,-34,20532122006281700293006282874891795278326935558272,"{2: 7, 651453759389: 1, 246229607032311968597516725934891941: 1}",246229607032311968597516725934891941
83,-32,14391079530169762818116386769785097128776915563872,"{2: 5, 17: 1, 53813: 1, 243889: 1, 47235980837: 1, 1436182781459: 1, 29712035354273: 1}",29712035354273
83,-30,9642006681976531170868200448502583893124900101536,"{2: 5, 42272467: 1, 33458921729: 1, 138920556329: 1, 1533491599349784359: 1}",1533491599349784359
83,-28,6171530369835323428648371982949978067071504186752,"{2: 7, 7: 1, 137: 1, 50276413987839900194280924000830765014594501: 1}",50276413987839900194280924000830765014594501
83,-26,3772188721935229187113675759851880212022242813568,"{2: 7, 7: 1, 17: 1, 43: 1, 181: 1, 31819214243194311696711958808999590959853: 1}",31819214243194311696711958808999590959853
83,-24,2201191214381596052775481804251935187882845485888,"{2: 6, 34393612724712438324616903191436487310669460717: 1}",34393612724712438324616903191436487310669460717
83,-22,1226089313141409969393154521465762414279081627328,"{2: 6, 103: 1, 379: 1, 613: 1, 363670522793: 1, 2201390677574318706686593619: 1}",2201390677574318706686593619
83,-20,651862637966633720290228454936127336490198466176,"{2: 7, 499: 1, 10739: 1, 950345958536744956486659846219768863797: 1}",950345958536744956486659846219768863797
83,-18,330789658299016892834828933865793744608242290048,"{2: 7, 7: 1, 1017258322709: 1, 362921470636174528918127902564057: 1}",362921470636174528918127902564057
83,-16,160219637850595453249147938297179023920953071480,"{2: 3, 5: 1, 4846140837668303029963: 1, 826532096453083834882249: 1}",826532096453083834882249
83,-14,74073162876645231236177738515050377109190839880,"{2: 3, 5: 1, 23: 1, 1847: 1, 43591936910998582446374696049439971463237: 1}",43591936910998582446374696049439971463237
83,-12,32689071957786791249554799404027791876089375680,"{2: 6, 5: 1, 37504573: 1, 13280947681541: 1, 205087561672482785380243: 1}",205087561672482785380243
83,-10,13770630394880075827098598667560324340957277760,"{2: 6, 5: 1, 1528942704577: 1, 28145737479355633482322382903909: 1}",28145737479355633482322382903909
83,-8,5537604899911412633992659458171704209927568480,"{2: 5, 5: 1, 2124166027: 1, 16293467734876982364267010101076789: 1}",16293467734876982364267010101076789
83,-6,2125720460555029689101909875902546317789130400,"{2: 5, 5: 2, 137: 1, 19395259676596986214433484269183816768149: 1}",19395259676596986214433484269183816768149
83,-4,778923971335404842434508725006826097208168000,"{2: 6, 5: 3, 17: 1, 1030001315957510431: 1, 5560558082246528067523: 1}",5560558082246528067523
83,-2,272436402739990370183520258003307381776011200,"{2: 6, 5: 2, 33329: 1, 99850114453: 1, 51165156188686891919128811: 1}",51165156188686891919128811
83,0,90945023993300184293582723993713175412821680,"{2: 4, 5: 1, 17970328273670185027: 1, 63260547197787744727973: 1}",63260547197787744727973
84,-81,374144419140747793483393957457231466329629334860948,"{2: 2, 167: 1, 997: 1, 561781781182991779955726396941170016531074263: 1}",561781781182991779955726396941170016531074263
84,-79,374144418699095011193328338588774834232956041629160,"{2: 3, 5: 1, 71: 1, 139: 1, 907: 1, 1055866501: 1, 10007513212053527: 1, 98892569246321869: 1}",98892569246321869
84,-77,374144412663173653229098214053200862245087700794724,"{2: 2, 23: 1, 2179: 1, 3361: 1, 32789: 1, 1649972480599863145291: 1, 10264098743002387: 1}",1649972480599863145291
84,-75,374144358339881431551027093233035114354272633284800,"{2: 6, 5: 2, 389: 1, 1427: 1, 463357417699051: 1, 909137399810536663226350351: 1}",909137399810536663226350351
84,-73,374143996184599953697219621098596795082172183218640,"{2: 4, 5: 1, 23: 1, 191: 1, 187848902963: 1, 5667335552652515387919388187343787: 1}",5667335552652515387919388187343787
84,-71,374142088833450837000500267857221646915776479536864,"{2: 5, 13: 1, 59: 1, 86753: 1, 1950628355761: 1, 978445334579: 1, 92065225735677283: 1}",92065225735677283
84,-69,374133823645137997981383070477929338194728430249168,"{2: 4, 13: 1, 131: 1, 15994757: 1, 858449388050946359996073814174571570863: 1}",858449388050946359996073814174571570863
84,-67,374103517954657588244620013420524206217552249527616,"{2: 6, 13: 1, 191: 1, 568369343: 1, 5322592853: 1, 778182047485693033650134117: 1}",778182047485693033650134117
84,-65,374007549934802957411536999405407954956494343909368,"{2: 3, 13: 1, 5906219533: 1, 41278441093: 1, 14750751844422347452797806843: 1}",14750751844422347452797806843
84,-63,373740972101873427319639738252307257009111272747568,"{2: 4, 13: 1, 15117168060611: 1, 118860330813243508030573910265135461: 1}",118860330813243508030573910265135461
84,-61,373083413447313919759626494074658868738899697215128,"{2: 3, 13: 1, 1669: 1, 8842877: 1, 159337: 1, 1046078660321: 1, 1458282629451500789207: 1}",1458282629451500789207
84,-59,371628813999348948490506287257436676504795302855488,"{2: 6, 13: 1, 351563: 1, 1270524052859292167606716454233817829868643: 1}",1270524052859292167606716454233817829868643
84,-57,368719615103419005952265873622992292036586514136208,"{2: 4, 13: 1, 87557: 1, 2461214087399: 1, 8226074564946547501970348718607: 1}",8226074564946547501970348718607
