n,k,entry,factors,max_factor
34,-1,883398425872998064,"{2: 4, 87293: 1, 632495178503: 1}",632495178503
35,-32,1180524911990612637148,"{2: 2, 7: 1, 919: 1, 2690659: 1, 17050729021: 1}",17050729021
35,-30,1179768879753561086020,"{2: 2, 5: 1, 1427: 1, 41337381911477263: 1}",41337381911477263
35,-28,1175610702449777554816,"{2: 7, 181: 1, 50742865264579487: 1}",50742865264579487
35,-26,1160826072036324999424,"{2: 8, 7: 1, 647782406270270647: 1}",647782406270270647
35,-24,1122632443468239231328,"{2: 5, 67: 1, 523: 1, 1001177587922219: 1}",1001177587922219
35,-22,1046245186332067695136,"{2: 5, 1831: 1, 14081: 1, 1378337: 1, 920039: 1}",1378337
35,-20,923176827612680220160,"{2: 9, 5: 1, 7: 1, 2574487: 1, 20010419179: 1}",20010419179
35,-18,759085682653496920192,"{2: 7, 3617: 1, 4273: 1, 95311: 1, 4025839: 1}",4025839
35,-16,574483144574415707728,"{2: 4, 21269: 1, 1688146905632657: 1}",1688146905632657
35,-14,396717737535300466096,"{2: 4, 7: 1, 457: 1, 1279: 1, 5634481: 1, 1075531: 1}",5634481
35,-12,248579898336037764736,"{2: 7, 67: 1, 193: 1, 7507: 1, 8663: 1, 2309347: 1}",2309347
35,-10,140843288009301254656,"{2: 9, 1373627: 1, 200261458819: 1}",200261458819
35,-8,72011564744997373216,"{2: 5, 7: 1, 3596773: 1, 89380174883: 1}",89380174883
35,-6,33183413160005440096,"{2: 5, 191: 1, 5429223357330733: 1}",5429223357330733
35,-4,13769337367509473536,"{2: 8, 911: 1, 59041135117271: 1}",59041135117271
35,-2,5140859237511266176,"{2: 7, 101467: 1, 395822905901: 1}",395822905901
35,0,1725419977720309096,"{2: 3, 1499: 1, 1637: 1, 113797: 1, 772367: 1}",772367
36,-33,4722166356689249214868,"{2: 2, 11: 1, 71: 1, 14197: 1, 106471574188981: 1}",106471574188981
36,-31,4719831551251295895208,"{2: 3, 13: 2, 1237: 1, 16889: 1, 167099893153: 1}",167099893153
36,-29,4706600987102893750468,"{2: 2, 1176650246775723437617: 1}",1176650246775723437617
36,-27,4658088918558752553088,"{2: 7, 83233: 1, 437222251705937: 1}",437222251705937
36,-25,4528723402441042693408,"{2: 5, 13: 1, 43: 1, 337: 1, 751249350133943: 1}",751249350133943
36,-23,4261368002464442316736,"{2: 6, 353: 1, 478145669: 1, 394488307: 1}",478145669
36,-21,3815775669170108355616,"{2: 5, 23: 1, 61: 1, 2328827: 1, 36495385673: 1}",36495385673
36,-19,3200433875573170980736,"{2: 7, 9497: 1, 2632767153092071: 1}",2632767153092071
36,-17,2482535116376744043376,"{2: 4, 5527: 1, 28072814324868193: 1}",28072814324868193
36,-15,1764636357180317106016,"{2: 5, 19: 1, 353: 1, 3022081: 1, 2720638489: 1}",2720638489
36,-13,1142457432543413760304,"{2: 4, 23: 1, 3104503892781015653: 1}",3104503892781015653
